"ID","Title","Severity","MASVS_Category","Location","CWE","Description","Impact","AttackerModel","Status","Remediation","CommitRef"
"STOR-1","Sensitive secrets (DB password, API key, TOTP setup key) copied to the global pasteboard with no expiry or local-only flag","Medium","MASVS-STORAGE-2","DatabasesView.swift:86; SecurityView.swift:122; SecurityView.swift:164","CWE-200","Copy actions wrote DB passwords, freshly created API keys and the TOTP setup secret to UIPasteboard.general as a plain string with no expirationDate / .localOnly.","Any co-resident app (with iOS 16 paste prompt) or a Handoff-paired device could read the secret; it persisted indefinitely. TOTP secret leak permanently defeats 2FA; API key is a long-lived scoped credential.","on-device malware / user's own Universal-Clipboard-paired devices","Fixed","Added Clipboard.copySecret() using setItems with .localOnly + 60s .expirationDate; routed the three secret copies through it.","dea5ed8"
"STOR-2","No app-switcher privacy overlay; sensitive screens captured in the snapshot on backgrounding","Medium","MASVS-STORAGE-2 / MASTG-TEST-0014","App/ReFxAppApp.swift:33","CWE-200","scenePhase handler never covered the UI when leaving the foreground, so the task-switcher snapshot captured console output, server IP:port and one-time-revealed secrets.","Anyone with brief physical access to an unlocked/handed-over device can read sensitive content from the app-switcher thumbnail without opening the app.","unlocked device / shoulder-surf","Fixed","Added an opaque branded PrivacyCurtain overlay shown whenever scenePhase != .active.","2be7924"
"AUTH-2","App-lock does not re-engage when returning from background","Medium","MASVS-AUTH","Core/Auth/AppSession.swift:130; App/ReFxAppApp.swift:33","CWE-613","The Face ID app-lock ran only on cold start; backgrounding a signed-in session and returning resumed straight into content with no re-auth.","An attacker with the unlocked device can resume a signed-in privileged session even with the app-lock enabled, defeating its purpose.","unlocked device","Fixed","Set phase=.locked on scenePhase==.background when the lock is enabled; added an always-available Sign out escape on the lock screen.","5c34077"
"STOR-3","Authenticated API responses used the default shared on-disk URLCache","Low","MASVS-STORAGE-1","Core/Networking/APIClient.swift:20","CWE-524","APIClient used URLSession.shared whose default URLCache can persist authenticated JSON responses to the app container on disk.","Cached sensitive responses readable with filesystem access (jailbreak / unencrypted backup at rest after first unlock).","jailbroken+physical / backup extraction","Fixed","Default to an ephemeral URLSession (in-memory cache, no persisted cookies/credentials, reloadIgnoringLocalCacheData).","f1b611a"
"NET-1","No certificate or public-key pinning for the API (REST) or Socket.IO transport","Low","MASVS-NETWORK-1","Core/Networking/APIClient.swift; Core/Realtime/ConsoleSocket.swift:101","CWE-295","TLS validation is intact (system default, no weakening) but there is no SPKI/certificate pinning, so any CA-trusted cert (incl. a maliciously/coerced-issued or user-installed root) is accepted.","An attacker able to present a trusted cert (rogue CA, MDM/user-installed root, corporate proxy) could MITM the token-bearing channel. Requires defeating standard TLS first.","network MITM with a trusted cert","Flagged","Add SPKI pinning for the API + Socket.IO origins with backup pins and a documented rotation process; fail closed on mismatch (never .useCredential unconditionally). Architectural — needs ops support for cert rotation.",""
"NET-2","Persisted apiOrigin override could redirect all token-bearing traffic","Low","MASVS-NETWORK / MASVS-PLATFORM","Core/Storage/AppConfig.swift:67","CWE-15","AppConfig read an apiOrigin/webOrigin override from UserDefaults at launch. The in-app UI to set it was removed, leaving a dormant redirect vector for anyone able to write the app's sandboxed UserDefaults.","An attacker with sandbox write (jailbreak / tampered backup restore) could repoint all REST + Socket.IO traffic (with the Bearer token) to an attacker host.","jailbroken / tampered-backup","Mitigated","Gated the override read behind #if DEBUG; release always uses the baked-in Info.plist origin / fallback.","b633fd6"
"AUTH-1","Biometric app-lock failed open when the policy could not be evaluated","Low","MASVS-AUTH","Core/Auth/AppLock.swift:35","CWE-636","authenticate() returned true (unlocked) when canEvaluatePolicy was false.","An attacker who could make biometrics/passcode unevaluable would bypass the soft lock. Low impact: the lock is a content-hiding gate; tokens are separately Keychain-protected.","jailbroken / instrumented device","Fixed","Return false (stay locked) on evaluation failure; safe because the lock screen now has a Sign out escape (AUTH-2).","98b6ca9"
"AUTH-3","App-lock is a UI-phase gate only, not bound to a Keychain access-control item","Low","MASVS-AUTH / MASVS-STORAGE","Core/Auth/AppLock.swift:28; Core/Storage/KeychainService.swift:43","CWE-287","The biometric lock is a SwiftUI phase gate; the refresh token is stored AfterFirstUnlockThisDeviceOnly without SecAccessControl biometry binding, so on an instrumented device the gate is bypassable and the token still readable.","On a jailbroken/instrumented device the lock provides no real boundary. Documented in-code as privacy-only, not a security boundary.","jailbroken+physical","Flagged","If a real boundary is desired, store the refresh token under SecAccessControl(.biometryCurrentSet/.userPresence) and supply an LAContext on read. Architectural; risks lockout on biometric change — needs UX for re-enrol/relogin.",""
"CODE-1","WebLink.open passed a server-controlled URL to UIApplication.open without scheme validation","Low","MASVS-PLATFORM","Core/Networking/WebLink.swift:6; Files/FilesService.swift:43","CWE-939","Signed file-download URLs returned by the backend were opened directly; a malicious/compromised backend could return a non-web scheme to launch another app.","A compromised backend could trigger opening of arbitrary URL schemes (deep links, tel:, etc.).","compromised/malicious backend","Fixed","Validate the resolved scheme is https (http allowed only in DEBUG) before calling UIApplication.open.","37a167e"
"SUP-1","No committed Package.resolved lockfile; SocketIO pinned with a floating from: range","Low","MASVS-CODE / supply chain","project.yml:13; .gitignore:9","CWE-1104","SocketIO (which transitively pulls Starscream) is pinned as from: 16.1.0 and Package.resolved is gitignored, so the exact resolved versions of the privileged build are not locked or reviewed.","Silent version drift / a compromised or vulnerable transitive release could enter the build unreviewed.","supply chain","Flagged","Pin SocketIO to an exact tag in project.yml, commit a resolved lockfile (CI step, since XcodeGen regenerates the xcodeproj), and add dependency review to CI. Verify the resolved Starscream version against advisories.",""
"SUP-2","Distribution .p12 import passphrase hardcoded in the CI workflow","Low","supply chain / secrets","/.github/workflows/testflight.yml:38","CWE-798","P12_PASSWORD: refxci is committed in the workflow. It protects the distribution .p12, which itself is a GitHub secret (not in the repo), so the password alone is not sufficient to sign.","Defense-in-depth weakness: the passphrase is public in git history. Combined with any leak of the .p12 secret it would allow signing as the team.","repo reader + separate .p12 leak","Flagged","Move the passphrase to a GitHub Actions secret and rotate the distribution certificate/passphrase (the current value is effectively public; deleting from HEAD does not purge git history).",""
"AUTH-4","Refresh-token single-flight is per-instance; the background task builds a second AuthStore that can double-spend the rotating refresh token","Low","MASVS-AUTH","Core/Auth/AuthStore.swift:81; Core/Background/BackgroundRefreshScheduler.swift:55","CWE-362","BGAppRefreshTask constructs its own AuthStore with an independent single-flight guard. If a background refresh and a foreground refresh overlap, both may POST /auth/refresh with the same rotating token; the reused token can trip server-side family-reuse revocation.","Rare spurious full-session logout (user must re-authenticate). Not a credential-theft vector. Likelihood low because BG tasks run while backgrounded.","concurrency / timing","Needs-verification","Share one AuthStore (and single-flight) across foreground + background, or coordinate refresh via a process-wide mutex keyed on the token, and re-read the token from Keychain after refresh. Touches the rotation flow — verify before changing.",""
"NET-3","localhost cleartext ATS exception ships in the release Info.plist","Info","MASVS-NETWORK","ReFxApp/Resources/Info.plist:97","CWE-319","An NSExceptionDomains entry permits cleartext http to localhost (previously incl. subdomains) in all builds.","Loopback-only; not remotely exploitable. Hardening only.","n/a (loopback)","Mitigated","Removed NSIncludesSubdomains; localhost http remains for local DEBUG panels. Consider a Debug-only Info.plist to drop the exception from release entirely.","edf16e6"
"PLAT-1","Server name + state disclosed on the lock screen via local notifications / Live Activity","Info","MASVS-PLATFORM","Core/Background/LocalNotifications.swift:23; Shared/ServerOpAttributes.swift:19","CWE-200","Outage notifications and the Live Activity show the server name and state on the lock screen. No secrets (IPs, tokens) are exposed.","Minor metadata disclosure to someone viewing the locked screen.","lock-screen viewer","Won't-fix","Accepted as intended UX. Optional: generic notification titles / redact Live Activity when locked if server names are considered sensitive.",""
"PLAT-2","Custom URL scheme refxapp:// declared but never handled","Info","MASVS-PLATFORM","ReFxApp/Resources/Info.plist:32","CWE-939","The scheme is registered (widget deep link) but the app has no onOpenURL/open-URL handler, so no action path exists.","No exploit. Note for future deep-link work.","n/a","Won't-fix","No action. If routing is added, validate host/path, require in-app confirmation for any action, and prefer universal links over the custom scheme.",""
"SUP-3","App Store provisioning profiles committed to the repo (ci/*.mobileprovision)","Info","supply chain / hygiene","ci/ReFx_AppStore.mobileprovision","CWE-200","Provisioning profiles are committed for the Mac-free CI pipeline. A profile lists team id, app id, entitlements and (for dev profiles) device UDIDs, but contains no private key.","Not a vulnerability; minor metadata exposure / staleness hygiene.","repo reader","Won't-fix","Optional: generate profiles at CI time via the App Store Connect API the workflow already uses, instead of committing them.",""
